深证A股,000735,罗 牛 山,1997-06-11
深证A股,000736,中交地产,1997-04-25
深证A股,000737,北方铜业,1997-04-28
深证A股,000738,航发控制,1997-06-26
深证A股,000739,普洛药业,1997-05-09
深证A股,000750,国海证券,1997-07-09
深证A股,000751,锌业股份,1997-06-26
深证A股,000752,*ST西发,1997-06-25
深证A股,000753,漳州发展,1997-06-26
深证A股,000755,山西路桥,1997-06-27
深证A股,000756,新华制药,1997-08-06
深证A股,000757,浩物股份,1997-06-27
深证A股,000758,中色股份,1997-04-16
深证A股,000759,中百集团,1997-05-19
深证A股,000761,本钢板材,1998-01-15
深证A股,000762,西藏矿业,1997-07-08
深证A股,000766,通化金马,1997-04-30
深证A股,000767,晋控电力,1997-06-09
深证A股,000768,中航西飞,1997-06-26
深证A股,000776,广发证券,1997-06-11
深证A股,000777,中核科技,1997-07-10
深证A股,000778,新兴铸管,1997-06-06
深证A股,000779,甘咨询,1997-05-28
深证A股,000782,美达股份,1997-06-19
深证A股,000783,长江证券,1997-07-31
深证A股,000785,居然之家,1997-07-11
深证A股,000786,北新建材,1997-06-06
深证A股,000788,北大医药,1997-06-16
深证A股,000789,万年青,1997-09-23
深证A股,000790,华神科技,1998-03-27
深证A股,000791,甘肃能源,1997-10-14
深证A股,000792,盐湖股份,1997-09-04
深证A股,000793,华闻集团,1997-07-29
深证A股,000795,英洛华,1997-08-08
深证A股,000796,*ST凯撒,1997-07-03
深证A股,000797,中国武夷,1997-07-15
深证A股,000798,中水渔业,1998-02-12
深证A股,000799,酒鬼酒,1997-07-18
深证A股,000800,一汽解放,1997-06-18
深证A股,000801,四川九洲,1998-05-06
深证A股,000802,北京文化,1998-01-08
深证A股,000803,山高环能,1998-03-03
深证A股,000807,云铝股份,1998-04-08
深证A股,000809,铁岭新城,1998-06-16
深证A股,000810,创维数字,1998-06-02
深证A股,000811,冰轮环境,1998-05-28
深证A股,000812,陕西金叶,1998-06-23
深证A股,000813,德展健康,1998-05-19
深证A股,000815,美利云,1998-06-09
深证A股,000816,智慧农业,1997-08-18
深证A股,000818,航锦科技,1997-10-17
深证A股,000819,岳阳兴长,1997-06-25
深证A股,000820,神雾节能,1998-06-30
深证A股,000821,京山轻机,1998-06-26
深证A股,000822,山东海化,1998-07-03
深证A股,000823,超声电子,1997-10-08
深证A股,000825,太钢不锈,1998-10-21
深证A股,000826,启迪环境,1998-02-25
深证A股,000828,东莞控股,1997-06-17
深证A股,000829,天音控股,1997-12-02
深证A股,000830,鲁西化工,1998-08-07
深证A股,000831,中国稀土,1998-09-11
深证A股,000833,粤桂股份,1998-11-11
深证A股,000836,富通信息,1997-09-29
深证A股,000837,秦川机床,1998-09-28
深证A股,000838,财信发展,1997-06-26
深证A股,000839,ST国安,1997-10-31
深证A股,000848,承德露露,1997-11-13
深证A股,000850,华茂股份,1998-10-07
